,F01_R01_temperature,F01_R01_co2,F01_R02_temperature,F01_R02_co2,F01_R03_temperature,F01_R03_co2,F01_C01_temperature,F01_C01_co2,F01_C02_temperature,F01_C02_co2
2022-09-01 00:00:00,15.386978024277981,0.06294520912494878,15.177765435661705,0.36619423664061146,15.06491377595568,0.2600356367710968,15.15720493813036,0.35722103174559855,15.17915879671056,0.400315612757429
2022-09-01 00:01:00,15.2458683419163,0.16206783705611183,15.168476450943242,0.03885179427180968,15.4207963129792,0.08217382799574979,15.358864498048792,0.4625872655237428,15.022086656438239,0.431826763042056
2022-09-01 00:02:00,15.370222538511454,0.6194615906558216,14.93340586691464,0.010064291108165035,15.408517194097247,0.4065995174179601,15.017855762461465,0.2996521303411171,15.12699495717724,0.39631712763388116
2022-09-01 00:03:00,15.35342875454463,0.5797678348596779,15.288236440097645,0.3853880394231493,15.353961082254399,0.279411654530297,15.390696296377904,0.317513202908966,15.084917044369403,0.15744752797817324
2022-09-01 00:04:00,15.13162112601486,0.6384085912573032,14.86338191184465,0.4890734295031167,14.9547464481105,0.29949813579829926,15.160742867855003,0.27795140384368455,15.322186965049134,0.33037779840100445
2022-09-01 00:05:00,15.411288430158491,0.7305125314415789,15.423616362356794,0.7559421995127363,15.34048442516758,0.3532274158044466,15.049569548145492,0.2521772592944135,15.015672625023548,0.2960177389788773
2022-09-01 00:06:00,15.19718695278265,0.5333594183626078,15.009656452642327,0.5763903633669213,14.745772142993083,0.6156563763875432,15.384248867072568,0.5614440903585092,15.215719632855915,0.6301606158756685
2022-09-01 00:07:00,15.222081153110883,0.8020584230605758,15.372562178473213,0.28876246129644134,14.659587793872742,0.4558324124763305,15.632907557257022,0.19134103744899789,14.70649685396089,0.5756350358139861
2022-09-01 00:08:00,14.868654509287879,0.8551731900117916,15.176244116766927,0.19459183511516998,14.733515764491555,0.9157336572630597,15.528410552283248,0.5894672447609054,14.892868855924261,0.5462854481007591
2022-09-01 00:09:00,15.030416499692182,1.2313389747687937,15.260815260555772,0.4892841893406217,14.888727716314074,0.676183647432486,15.592770519812273,0.605183360147168,15.20921743340445,0.7328720562657676
2022-09-01 00:10:00,14.921685155535252,1.2383753622741653,15.196147373442765,0.5900186837328358,15.100219054227228,0.9930091959781226,15.362063443858991,1.0311895354774714,15.258482872173518,1.014424994346846
2022-09-01 00:11:00,15.275225059058098,1.2571734505565986,15.05877848162372,0.9735783009749376,15.085555376845075,1.5542101763942031,15.492117353982843,0.7777169847705615,15.02270754743123,1.3246519143544928
2022-09-01 00:12:00,15.200988001203454,1.691889541196727,14.894149225836065,1.073373694416336,14.766219755090622,1.5683828556317732,15.84615895849629,1.266532989686385,15.059764463555307,1.4510272241246027
2022-09-01 00:13:00,15.298459286015637,2.3659317455349282,14.996417319494658,1.4051719442894623,14.73278403286384,1.7975698079179039,15.703884169049832,1.3580137546045803,15.327830494353696,1.5163865506141656
